data,descricao,categoria,valor,forma_pagamento,parcelas
2026-01-03,Supermercado Extra,Alimentação,320.50,Débito,1
2026-01-05,iFood - Jantar,Alimentação,58.90,Crédito,1
2026-01-07,Uber,Transporte,23.40,Crédito,1
2026-01-08,Netflix,Lazer,55.90,Crédito,1
2026-01-10,Farmácia,Saúde,87.30,Débito,1
2026-01-12,Aluguel Janeiro,Moradia,1200.00,Transferência,1
2026-01-14,Academia,Saúde,99.90,Crédito,1
2026-01-15,Posto de Gasolina,Transporte,180.00,Débito,1
2026-01-18,Restaurante,Alimentação,75.00,Crédito,1
2026-01-20,Spotify,Lazer,21.90,Crédito,1
2026-01-22,Mercadinho,Alimentação,45.60,Débito,1
2026-01-25,Conta de Luz,Moradia,210.40,Débito,1
2026-01-28,Roupa Zara,Vestuário,259.00,Crédito,3
2026-01-30,iFood - Almoço,Alimentação,,Crédito,1
2026-02-02,Supermercado Extra,Alimentação,298.70,Débito,1
2026-02-02,Supermercado Extra,Alimentação,298.70,Débito,1
2026-02-05,Uber,Transporte,31.20,Crédito,1
2026-02-07,Cinema,Lazer,48.00,Crédito,2
2026-02-08,Netflix,Lazer,55.90,Crédito,1
2026-02-10,Farmácia,Saúde,42.00,Débito,1
2026-02-12,Aluguel Fevereiro,Moradia,1200.00,Transferência,1
2026-02-14,Padaria,Alimentação,22.50,Dinheiro,1
2026-02-15,Posto de Gasolina,Transporte,200.00,Débito,1
2026-02-18,iFood - Jantar,Alimentação,67.80,Crédito,1
2026-02-20,Spotify,Lazer,21.90,Crédito,1
2026-02-22,Conta de Água,Moradia,85.30,Débito,1
2026-02-25,Conta de Luz,Moradia,195.60,Débito,1
2026-02-26,Curso Online,Educação,149.90,Crédito,1
2026-02-28,Tênis Nike,Vestuário,349.00,Crédito,4
2026-03-01,Supermercado Extra,Alimentação,310.00,Débito,1
2026-03-03,Uber,Transporte,19.80,Crédito,1
2026-03-05,iFood - Almoço,Alimentação,52.40,Crédito,1
2026-03-08,Netflix,Lazer,55.90,Crédito,1
2026-03-10,Consulta Médica,Saúde,250.00,Débito,1
2026-03-12,Aluguel Março,Moradia,1200.00,Transferência,1
2026-03-14,Academia,Saúde,99.90,Crédito,1
2026-03-15,Posto de Gasolina,Transporte,175.00,Débito,1
2026-03-18,Restaurante,Alimentação,98.00,Crédito,1
2026-03-20,Spotify,Lazer,21.90,Crédito,1
2026-03-22,Livros,Educação,87.50,Crédito,1
2026-03-25,Conta de Luz,Moradia,220.80,Débito,1
2026-03-27,Bar com amigos,Lazer,110.00,Débito,1
2026-03-28,Mercadinho,Alimentação,38.90,Dinheiro,1
2026-03-30,INVALIDO,???,abc,Nenhum,x
2026-04-02,Supermercado Extra,Alimentação,335.20,Débito,1
2026-04-04,Uber,Transporte,27.60,Crédito,1
2026-04-05,iFood - Jantar,Alimentação,71.30,Crédito,1
2026-04-08,Netflix,Lazer,55.90,Crédito,1
2026-04-10,Farmácia,Saúde,63.40,Débito,1
2026-04-12,Aluguel Abril,Moradia,1200.00,Transferência,1
2026-04-14,Academia,Saúde,99.90,Crédito,1
2026-04-15,Posto de Gasolina,Transporte,190.00,Débito,1
2026-04-18,Restaurante,Alimentação,82.00,Crédito,1
2026-04-20,Spotify,Lazer,21.90,Crédito,1
2026-04-22,Conta de Água,Moradia,90.10,Débito,1
2026-04-25,Conta de Luz,Moradia,205.30,Débito,1
2026-04-26,Curso Online,Educação,199.90,Crédito,1
2026-04-28,Roupas,Vestuário,180.00,Crédito,2
2026-05-02,Supermercado Extra,Alimentação,305.80,Débito,1
2026-05-04,Uber,Transporte,33.10,Crédito,1
2026-05-06,iFood - Almoço,Alimentação,49.90,Crédito,1
2026-05-08,Netflix,Lazer,55.90,Crédito,1
2026-05-10,Farmácia,Saúde,55.00,Débito,1
2026-05-12,Aluguel Maio,Moradia,1200.00,Transferência,1
2026-05-14,Academia,Saúde,99.90,Crédito,1
2026-05-15,Posto de Gasolina,Transporte,210.00,Débito,1
2026-05-18,Restaurante,Alimentação,92.50,Crédito,1
2026-05-20,Spotify,Lazer,21.90,Crédito,1
2026-05-22,Mercadinho,Alimentação,41.20,Dinheiro,1
2026-05-24,Conta de Luz,Moradia,198.70,Débito,1
2026-05-26,Show de Música,Lazer,220.00,Crédito,1
2026-05-28,Livros,Educação,65.00,Crédito,1
2026-06-02,Supermercado Extra,Alimentação,289.40,Débito,1
2026-06-04,Uber,Transporte,28.90,Crédito,1
2026-06-05,iFood - Jantar,Alimentação,63.70,Crédito,1
2026-06-08,Netflix,Lazer,55.90,Crédito,1
2026-06-10,Consulta Médica,Saúde,250.00,Débito,1
2026-06-12,Aluguel Junho,Moradia,1200.00,Transferência,1
2026-06-14,Academia,Saúde,99.90,Crédito,1
2026-06-15,Posto de Gasolina,Transporte,185.00,Débito,1
2026-06-18,Restaurante,Alimentação,105.00,Crédito,1
2026-06-20,Spotify,Lazer,21.90,Crédito,1
2026-06-22,Conta de Água,Moradia,88.50,Débito,1
2026-06-25,Conta de Luz,Moradia,215.60,Débito,1
2026-06-26,Roupas,Vestuário,210.00,Crédito,2
2026-06-28,Padaria,Alimentação,18.90,Dinheiro,1